[GAME] 707034 [DATE] 2022-04-03 [VENUE] Truist Park [WEATHER] Cloudy 75 6

[TEAM] 144
[PLAY] Groundout [BATTER] William Contreras [PITCHER] John Schreiber [FIELDERS] Marcelo Mayer [MOVEMENTS] William Contreras home -> home [out]
[PLAY] Strikeout [BATTER] Guillermo Heredia [PITCHER] John Schreiber [MOVEMENTS] Guillermo Heredia home -> home [out]
[PLAY] Strikeout [BATTER] Franchy Cordero [PITCHER] Kyle Wright [MOVEMENTS] Franchy Cordero home -> home [out]
[PLAY] Flyout [BATTER] Bobby Dalbec [PITCHER] Kyle Wright [FIELDERS] Jesse Franklin V [MOVEMENTS] Bobby Dalbec home -> home [out]
[PLAY] Lineout [BATTER] Christin Stewart [PITCHER] Kyle Wright [FIELDERS] Jesse Franklin V [MOVEMENTS] Christin Stewart home -> home [out]
[PLAY] Lineout [BATTER] Ambioris Tavarez [PITCHER] John Schreiber [FIELDERS] Rob Refsnyder [MOVEMENTS] Ambioris Tavarez home -> home [out]
[PLAY] Walk [BATTER] Drew Lugbauer [PITCHER] John Schreiber [MOVEMENTS] Drew Lugbauer home -> 1
[PLAY] Walk [BATTER] CJ Alexander [PITCHER] John Schreiber [MOVEMENTS] Drew Lugbauer 1 -> 2, CJ Alexander home -> 1
[PLAY] Pop Out [BATTER] Jesse Franklin V [PITCHER] John Schreiber [FIELDERS] Eddinson Paulino [MOVEMENTS] Drew Lugbauer 2 -> 3, CJ Alexander 1 -> 2, Jesse Franklin V home -> home [out]
[PLAY] Single [BATTER] Michael Harris II [PITCHER] John Schreiber [MOVEMENTS] Michael Harris II home -> 1, CJ Alexander 2 -> 4, Drew Lugbauer 3 -> 4
[PLAY] Groundout [BATTER] Alex Dickerson [PITCHER] John Schreiber [FIELDERS] Eddinson Paulino [MOVEMENTS] Alex Dickerson home -> home [out]
[PLAY] Strikeout [BATTER] Roldani Baldwin [PITCHER] Kyle Wright [MOVEMENTS] Roldani Baldwin home -> home [out]
[PLAY] Groundout [BATTER] Marcelo Mayer [PITCHER] Kyle Wright [FIELDERS] Drew Lugbauer [MOVEMENTS] Marcelo Mayer home -> home [out]
[PLAY] Groundout [BATTER] Eddinson Paulino [PITCHER] Kyle Wright [FIELDERS] Ambioris Tavarez [MOVEMENTS] Eddinson Paulino home -> home [out]
[PLAY] Groundout [BATTER] Jordan Cowan [PITCHER] Tyler Danish [FIELDERS] Alex Binelas [MOVEMENTS] Jordan Cowan home -> home [out]
[PLAY] Walk [BATTER] William Contreras [PITCHER] Tyler Danish [MOVEMENTS] William Contreras home -> 1
[PLAY] Single [BATTER] Luke Waddell [PITCHER] Tyler Danish [MOVEMENTS] Luke Waddell home -> 1, William Contreras 1 -> 2
[PLAY] Strikeout [BATTER] Ambioris Tavarez [PITCHER] Tyler Danish [MOVEMENTS] Ambioris Tavarez home -> home [out]
[PLAY] Strikeout [BATTER] Drew Lugbauer [PITCHER] Tyler Danish [MOVEMENTS] Drew Lugbauer home -> home [out]
[GAME_END]
