[GAME] 605126 [DATE] 2020-03-11 [VENUE] Marlins Park [WEATHER] Sunny 75 9

[TEAM] 146
[PLAY] Field Error [BATTER] Clint Frazier [PITCHER] Brandon Kintzler [FIELDERS] Monte Harrison [MOVEMENTS] Clint Frazier home -> 1
[PLAY] Hit By Pitch [BATTER] Thomas Milone [PITCHER] Brandon Kintzler [MOVEMENTS] Clint Frazier 1 -> 2, Thomas Milone home -> 1
[PLAY] Forceout [BATTER] Chris Iannetta [PITCHER] Brandon Kintzler [FIELDERS] Eddy Alvarez [MOVEMENTS] Clint Frazier 2 -> home [out], Chris Iannetta home -> 1
[PLAY] Strikeout [BATTER] Isan Díaz [PITCHER] Luis Cessa [MOVEMENTS] Isan Díaz home -> home [out]
[PLAY] Strikeout [BATTER] Garrett Cooper [PITCHER] Luis Cessa [MOVEMENTS] Garrett Cooper home -> home [out]
[PLAY] Strikeout [BATTER] Matt Kemp [PITCHER] Luis Cessa [MOVEMENTS] Matt Kemp home -> home [out]
[PLAY] Groundout [BATTER] Tyler Wade [PITCHER] Stephen Tarpley [FIELDERS] Demetrius Sims [MOVEMENTS] Tyler Wade home -> home [out]
[PLAY] Groundout [BATTER] Thairo Estrada [PITCHER] Stephen Tarpley [FIELDERS] Christian Lopes [MOVEMENTS] Thairo Estrada home -> home [out]
[PLAY] Groundout [BATTER] Mike Tauchman [PITCHER] Stephen Tarpley [FIELDERS] Demetrius Sims [MOVEMENTS] Mike Tauchman home -> home [out]
[PLAY] Strikeout [BATTER] Christian Lopes [PITCHER] Luis Cessa [MOVEMENTS] Christian Lopes home -> home [out]
[PLAY] Flyout [BATTER] Magneuris Sierra [PITCHER] Luis Cessa [FIELDERS] Estevan Florial [MOVEMENTS] Magneuris Sierra home -> home [out]
[PLAY] Strikeout [BATTER] Sean Rodríguez [PITCHER] Luis Cessa [MOVEMENTS] Sean Rodríguez home -> home [out]
[PLAY] Groundout [BATTER] Estevan Florial [PITCHER] Aaron Northcraft [FIELDERS] Demetrius Sims [MOVEMENTS] Estevan Florial home -> home [out]
[PLAY] Single [BATTER] Mike Ford [PITCHER] Aaron Northcraft [MOVEMENTS] Mike Ford home -> 1
[PLAY] Grounded Into Double Play [BATTER] Zack Granite [PITCHER] Aaron Northcraft [FIELDERS] Demetrius Sims, Joe Dunand [MOVEMENTS] Chris Gittens 1 -> home [out], Zack Granite home -> home [out]
[PLAY] Strikeout [BATTER] Joe Dunand [PITCHER] Luis Avilán [MOVEMENTS] Joe Dunand home -> home [out]
[PLAY] Groundout [BATTER] Monte Harrison [PITCHER] Luis Avilán [FIELDERS] Oswaldo Cabrera [MOVEMENTS] Monte Harrison home -> home [out]
[PLAY] Groundout [BATTER] Santiago Chávez [PITCHER] Luis Avilán [FIELDERS] Oswaldo Cabrera [MOVEMENTS] Santiago Chávez home -> home [out]
[PLAY] Groundout [BATTER] Trey Amburgey [PITCHER] Alex Vesia [FIELDERS] Christian Lopes [MOVEMENTS] Trey Amburgey home -> home [out]
[PLAY] Groundout [BATTER] Thomas Milone [PITCHER] Alex Vesia [FIELDERS] Gosuke Katoh [MOVEMENTS] Thomas Milone home -> home [out]
[PLAY] Strikeout [BATTER] Kyle Holder [PITCHER] Alex Vesia [MOVEMENTS] Kyle Holder home -> home [out]
[GAME_END]
