[GAME] 719262 [DATE] 2023-03-05 [VENUE] PNC Park [WEATHER] Cloudy 82 7

[TEAM] 134
[PLAY] Strikeout [BATTER] Edouard Julien [PITCHER] Colin Holderman [MOVEMENTS] Edouard Julien home -> home [out]
[PLAY] Single [BATTER] Rodolfo Castro [PITCHER] Aaron Sanchez [MOVEMENTS] Rodolfo Castro home -> 1
[PLAY] Strikeout [BATTER] Austin Hedges [PITCHER] Aaron Sanchez [MOVEMENTS] Austin Hedges home -> home [out]
[PLAY] Home Run [BATTER] Chris Owings [PITCHER] Aaron Sanchez [MOVEMENTS] Chris Owings home -> 4, Rodolfo Castro 1 -> 4
[PLAY] Groundout [BATTER] Ji Hwan Bae [PITCHER] Aaron Sanchez [FIELDERS] Andrew Bechtold [MOVEMENTS] Ji Hwan Bae home -> home [out]
[PLAY] Strikeout [BATTER] Bryan Reynolds [PITCHER] Aaron Sanchez [MOVEMENTS] Bryan Reynolds home -> home [out]
[PLAY] Home Run [BATTER] Jose Miranda [PITCHER] Jose E. Hernandez [MOVEMENTS] Jose Miranda home -> 4
[PLAY] Single [BATTER] Matt Wallner [PITCHER] Jose E. Hernandez [MOVEMENTS] Matt Wallner home -> 1
[PLAY] Pop Out [BATTER] Willi Castro [PITCHER] Jose E. Hernandez [FIELDERS] Endy Rodríguez [MOVEMENTS] Willi Castro home -> home [out]
[PLAY] Strikeout [BATTER] Tony Wolters [PITCHER] Jose E. Hernandez [MOVEMENTS] Matt Wallner 1 -> home [out], Tony Wolters home -> home [out]
[PLAY] Walk [BATTER] Henry Davis [PITCHER] Jeff Hoffman [MOVEMENTS] Henry Davis home -> 1
[PLAY] Pop Out [BATTER] Carlos Santana [PITCHER] Jeff Hoffman [FIELDERS] Andrew Bechtold [MOVEMENTS] Carlos Santana home -> home [out]
[PLAY] Double [BATTER] Jack Suwinski [PITCHER] Jeff Hoffman [MOVEMENTS] Jack Suwinski home -> 2, Henry Davis 1 -> 3
[PLAY] Single [BATTER] Cal Mitchell [PITCHER] Jeff Hoffman [MOVEMENTS] Cal Mitchell home -> 1, Jack Suwinski 2 -> 4, Henry Davis 3 -> 4
[PLAY] Strikeout [BATTER] Rodolfo Castro [PITCHER] Jeff Hoffman [MOVEMENTS] Rodolfo Castro home -> home [out]
[PLAY] Strikeout [BATTER] Endy Rodríguez [PITCHER] Jeff Hoffman [MOVEMENTS] Cal Mitchell 1 -> 2, Endy Rodríguez home -> home [out]
[PLAY] Pop Out [BATTER] Brooks Lee [PITCHER] Duane Underwood Jr. [FIELDERS] Jared Triolo [MOVEMENTS] Brooks Lee home -> home [out]
[PLAY] Hit By Pitch [BATTER] Ryan LaMarre [PITCHER] Duane Underwood Jr. [MOVEMENTS] Ryan LaMarre home -> 1
[PLAY] Strikeout [BATTER] Aaron Sabato [PITCHER] Duane Underwood Jr. [MOVEMENTS] Aaron Sabato home -> home [out]
[PLAY] Flyout [BATTER] Andrew Bechtold [PITCHER] Duane Underwood Jr. [FIELDERS] Chavez Young [MOVEMENTS] Andrew Bechtold home -> home [out]
[PLAY] Flyout [BATTER] Liover Peguero [PITCHER] Oliver Ortega [FIELDERS] Kyler Fedko [MOVEMENTS] Liover Peguero home -> home [out]
[PLAY] Double [BATTER] Andrés Alvarez [PITCHER] Oliver Ortega [MOVEMENTS] Andrés Alvarez home -> 2
[PLAY] Groundout [BATTER] Lolo Sanchez [PITCHER] Oliver Ortega [FIELDERS] Danny De Andrade [MOVEMENTS] Lolo Sanchez home -> home [out], Andrés Alvarez 2 -> 3
[PLAY] Lineout [BATTER] Henry Davis [PITCHER] Oliver Ortega [FIELDERS] Danny De Andrade [MOVEMENTS] Henry Davis home -> home [out]
[PLAY] Groundout [BATTER] Jorel Ortega [PITCHER] Caleb Smith [FIELDERS] Liover Peguero [MOVEMENTS] Jorel Ortega home -> home [out]
[PLAY] Strikeout [BATTER] Chris Williams [PITCHER] Caleb Smith [MOVEMENTS] Chris Williams home -> home [out]
[PLAY] Groundout [BATTER] Kyler Fedko [PITCHER] Caleb Smith [FIELDERS] Liover Peguero [MOVEMENTS] Kyler Fedko home -> home [out]
[PLAY] Single [BATTER] Drew Maggi [PITCHER] Cole Sands [MOVEMENTS] Drew Maggi home -> 1
[PLAY] Strikeout [BATTER] Matt Gorski [PITCHER] Cole Sands [MOVEMENTS] Drew Maggi 1 -> 2, Matt Gorski home -> home [out]
[PLAY] Strikeout [BATTER] Chavez Young [PITCHER] Cole Sands [MOVEMENTS] Chavez Young home -> home [out]
[PLAY] Pop Out [BATTER] Jared Triolo [PITCHER] Cole Sands [FIELDERS] Danny De Andrade [MOVEMENTS] Jared Triolo home -> home [out]
[PLAY] Walk [BATTER] Yoyner Fajardo [PITCHER] Dauri Moreta [MOVEMENTS] Yoyner Fajardo home -> 1
[PLAY] Flyout [BATTER] David Bañuelos [PITCHER] Dauri Moreta [FIELDERS] Chavez Young [MOVEMENTS] David Bañuelos home -> home [out]
[PLAY] Strikeout [BATTER] Danny De Andrade [PITCHER] Dauri Moreta [MOVEMENTS] Danny De Andrade home -> home [out]
[PLAY] Single [BATTER] Alerick Soularie [PITCHER] Dauri Moreta [MOVEMENTS] Yoyner Fajardo 1 -> 2, Alerick Soularie home -> 1, Yoyner Fajardo 2 -> 3
[PLAY] Strikeout [BATTER] Seth Gray [PITCHER] Dauri Moreta [MOVEMENTS] Seth Gray home -> home [out]
[GAME_END]
